"title","price","sold_out","link"
"MYSTERY PIECE!!!!",350,TRUE,"/available-work/zy32j0oxpim06dxx7v41q5wf2gue35"
"Lapis Vitrolith",2200,FALSE,"/available-work/sg8rt24ofcetr3fxarjuk6hudq1v5o"
"Yooperlite Vitrolith",1000,TRUE,"/available-work/38dwozz6xnal3l58dafuho6fjw2bsq"
"Moroccan Seam Agate Vitrolith",600,TRUE,"/available-work/cfukmx5ttjiz7m63nwz717hkuixp3q"
"Apatite Aerolith",900,TRUE,"/available-work/4kigyhk8p16dzoj53s5d5wdu9kml11"
"Tiffany Stone Vitrolith",850,FALSE,"/available-work/isw5hhsee1h2wwp2vwu6xer3ppveo1"
"Boulder Opal Vitrolith",900,TRUE,"/available-work/1w2bnm0wp4brz0fz4m7vr8ucv58yw4"
"Labradorite Vitrolith",1400,TRUE,"/available-work/vp1tlmafgsa8x6xt78s51yl57tacyj"
"Honeycomb Calcite Vitrolith",1800,FALSE,"/available-work/lxrp15pwdpixn2ylsrfk9nd2s5kzn1"
"#80 of 365 pieces for 2025",300,TRUE,"/available-work/i1fhbg9b5pjacewgulz01oah0bsoyi"
"Golden Soliloquy",7500,FALSE,"/available-work/47ymaxvi17ltov300wyyrzi0dbklnc"
"#82 of 365 pieces for 2025",725,TRUE,"/available-work/9b1x2es08phxisii45398nnssgoljz"
"#83 of 365 pieces for 2025",450,TRUE,"/available-work/bhtbxyk6zrjfbzy6qd18vnqy3pg0gf"
